Data;Preco
12/12/2017;R$ 3.95
13/12/2017;R$ 3.94
14/12/2017;R$ 3.97
15/12/2017;R$ 3.90
18/12/2017;R$ 3.97
19/12/2017;R$ 3.97
20/12/2017;R$ 3.99
21/12/2017;R$ 4.01
22/12/2017;R$ 4.01
25/12/2017;R$ 3.95
26/12/2017;R$ 4.00
27/12/2017;R$ 4.02
28/12/2017;R$ 4.02
29/12/2017;R$ 4.06
01/01/2018;R$ 4.01
02/01/2018;R$ 4.02
03/01/2018;R$ 4.08
04/01/2018;R$ 4.05
05/01/2018;R$ 4.18
08/01/2018;R$ 4.03
09/01/2018;R$ 4.09
10/01/2018;R$ 4.03
11/01/2018;R$ 4.06
12/01/2018;R$ 4.11
15/01/2018;R$ 4.05
16/01/2018;R$ 4.05
17/01/2018;R$ 4.10
18/01/2018;R$ 4.06
19/01/2018;R$ 4.06
22/01/2018;R$ 4.05
23/01/2018;R$ 4.08
24/01/2018;R$ 4.04
25/01/2018;R$ 4.04
26/01/2018;R$ 4.07
29/01/2018;R$ 4.05
30/01/2018;R$ 4.04
31/01/2018;R$ 4.10
01/02/2018;R$ 4.06
02/02/2018;R$ 4.05
05/02/2018;R$ 4.05
06/02/2018;R$ 4.05
07/02/2018;R$ 4.05
08/02/2018;R$ 4.08
09/02/2018;R$ 4.04
12/02/2018;R$ 4.01
13/02/2018;R$ 4.05
14/02/2018;R$ 4.08
15/02/2018;R$ 4.02
16/02/2018;R$ 4.12
19/02/2018;R$ 4.02
20/02/2018;R$ 4.02
21/02/2018;R$ 4.04
22/02/2018;R$ 4.05
23/02/2018;R$ 4.05
26/02/2018;R$ 4.05
27/02/2018;R$ 4.01
28/02/2018;R$ 4.06
01/03/2018;R$ 4.01
02/03/2018;R$ 3.98
05/03/2018;R$ 4.04
06/03/2018;R$ 4.02
07/03/2018;R$ 4.05
08/03/2018;R$ 4.02
09/03/2018;R$ 4.03
12/03/2018;R$ 4.02
13/03/2018;R$ 4.03
14/03/2018;R$ 4.07
15/03/2018;R$ 4.01
16/03/2018;R$ 4.03
19/03/2018;R$ 4.04
20/03/2018;R$ 4.02
21/03/2018;R$ 4.01
22/03/2018;R$ 4.03
23/03/2018;R$ 4.03
26/03/2018;R$ 4.03
27/03/2018;R$ 4.01
28/03/2018;R$ 4.07
29/03/2018;R$ 4.05
30/03/2018;R$ 4.05
02/04/2018;R$ 4.06
03/04/2018;R$ 4.03
04/04/2018;R$ 4.06
05/04/2018;R$ 4.04
06/04/2018;R$ 4.06
09/04/2018;R$ 4.01
10/04/2018;R$ 4.06
11/04/2018;R$ 4.07
12/04/2018;R$ 4.05
13/04/2018;R$ 4.03
16/04/2018;R$ 4.06
17/04/2018;R$ 4.05
18/04/2018;R$ 4.07
19/04/2018;R$ 4.05
20/04/2018;R$ 4.04
23/04/2018;R$ 4.03
24/04/2018;R$ 4.04
25/04/2018;R$ 4.06
26/04/2018;R$ 4.06
27/04/2018;R$ 4.05
30/04/2018;R$ 4.04
01/05/2018;R$ 4.04
02/05/2018;R$ 4.08
03/05/2018;R$ 4.05
04/05/2018;R$ 4.07
07/05/2018;R$ 4.05
08/05/2018;R$ 4.05
09/05/2018;R$ 4.07
10/05/2018;R$ 4.06
11/05/2018;R$ 4.10
14/05/2018;R$ 4.09
15/05/2018;R$ 4.09
16/05/2018;R$ 4.15
17/05/2018;R$ 4.13
18/05/2018;R$ 4.18
21/05/2018;R$ 4.19
22/05/2018;R$ 4.24
23/05/2018;R$ 4.28
24/05/2018;R$ 4.34
25/05/2018;R$ 4.33
28/05/2018;R$ 4.39
29/05/2018;R$ 4.38
30/05/2018;R$ 4.46
31/05/2018;R$ 4.50
01/06/2018;R$ 4.49
04/06/2018;R$ 4.46
05/06/2018;R$ 4.41
06/06/2018;R$ 4.42
07/06/2018;R$ 4.41
08/06/2018;R$ 4.41
11/06/2018;R$ 4.37
12/06/2018;R$ 4.38
13/06/2018;R$ 4.36
14/06/2018;R$ 4.37
15/06/2018;R$ 4.36
18/06/2018;R$ 4.37
19/06/2018;R$ 4.37
20/06/2018;R$ 4.36
21/06/2018;R$ 4.34
22/06/2018;R$ 4.41
25/06/2018;R$ 4.30
26/06/2018;R$ 4.29
